Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.4103
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.3974
Validation - Trees: 5, k: 10, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.3974
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.3974
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.3974
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.3974
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.3974
Validation - Trees: 20, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.3974
Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.3974
Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.3974
Validation - Trees: 20, k: 15, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.3974
Validation - Trees: 5, k: 10, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.3846
Validation - Trees: 5, k: 15, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.3846
Validation - Trees: 5, k: 15, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.3846
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.3846
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.3846
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.3846
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.3846
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.3846
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.3846
Validation - Trees: 20, k: 15, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.3846
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.3718
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.3718
Validation - Trees: 10, k: 10, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.3718
