Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8846
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8846
Validation - Trees: 5, k: 5, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8718
Validation - Trees: 5, k: 10, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8718
Validation - Trees: 10, k: 5, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8718
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8718
Validation - Trees: 20, k: 15, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8718
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 5, k: 10, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 5, k: 15, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 10, k: 5, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8590
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 10, k: 5, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 10, k: 5, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 10, k: 10, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 10, k: 10, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 10, k: 15, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8590
Validation - Trees: 10, k: 15, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8590
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 20, k: 10, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8590
Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8590
Validation - Trees: 20, k: 15, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8590
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8462
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 5, k: 5, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8462
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 10, k: 10, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 10, k: 10, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 10, k: 15, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8462
Validation - Trees: 10, k: 15, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8462
Validation - Trees: 20, k: 5, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 20, k: 10, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 20, k: 10, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 20, k: 15, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8462
Validation - Trees: 20, k: 15, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8462
Validation - Trees: 20, k: 15, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8462
Validation - Trees: 5, k: 3, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 5, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 5, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 5, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 5, k: 5, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 10, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 5, k: 10, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 10, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 5, k: 10, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 15, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 5, k: 15, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 3, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 5, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 10, k: 5, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 10, k: 10, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 10, k: 10, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 10, k: 15, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 10, k: 15, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 20, k: 3, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 20, k: 3, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 0.8, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 0.8, Accuracy: 0.8333
Validation - Trees: 20, k: 5, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 20, k: 10, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 20, k: 15, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8333
Validation - Trees: 5, k: 3, Sample Size: 0.8, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 5, k: 10, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8205
Validation - Trees: 5, k: 15, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 5, k: 15, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 5, k: 15, Sample Size: 0.8, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 10, k: 3, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 10, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 10, k: 5, Sample Size: 1.0, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 10, k: 15, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 20, k: 3, Sample Size: 1.0, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 20, k: 10, Sample Size: 0.6, Feature Size: 0.6, Accuracy: 0.8205
Validation - Trees: 20, k: 10, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8205
Validation - Trees: 20, k: 10, Sample Size: 0.6, Feature Size: 1.0, Accuracy: 0.8205
Validation - Trees: 20, k: 15, Sample Size: 0.6, Feature Size: 0.8, Accuracy: 0.8205
