projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,85,0.95,5,20,euclidean,balanced,0.9862,0.9864044110225987,0.9862,0.9862230180009163,0.177
random,79,0.95,3,17,euclidean,stratified,0.9863,0.9864873823143043,0.9863,0.9863157074447592,0.123
pca,77,0.95,3,20,euclidean,balanced,0.9858,0.9859377496568829,0.9858,0.9858186795933427,0.664
random,90,0.95,5,17,euclidean,stratified,0.9871,0.987282735000524,0.9871,0.9871246836491177,0.127
random,50,0.95,5,20,euclidean,stratified,0.9851,0.9853575405545509,0.9851,0.9851300805607552,0.117
pca,88,0.95,5,17,euclidean,balanced,0.9865,0.9866630003700791,0.9865,0.9865215985741325,0.534
pca,90,0.95,3,20,euclidean,stratified,0.9858,0.9859530836591579,0.9858,0.9858180091728871,0.665
random,79,0.95,5,10,euclidean,stratified,0.9847,0.9849240661446147,0.9847,0.9847184674991158,0.061
random,81,0.95,3,20,euclidean,stratified,0.9872,0.9873617564539707,0.9872,0.9872215513462854,0.137
pca,82,0.95,3,18,euclidean,balanced,0.9859,0.9860444554060434,0.9859,0.985917120298157,0.581
random,79,0.95,5,20,euclidean,stratified,0.986,0.9861768628830334,0.986,0.9860191813624725,0.129
random,92,0.95,5,15,euclidean,balanced,0.9865,0.9866673607800654,0.9865,0.9865160756465488,0.137
random,100,0.95,3,20,euclidean,stratified,0.986,0.9861621181982011,0.986,0.9860194681029754,0.178
random,91,0.95,3,16,euclidean,stratified,0.9862,0.986392086285829,0.9862,0.9862220566033791,0.107
random,81,0.95,3,20,euclidean,stratified,0.9872,0
random,57,0.95,4,15,euclidean,stratified,0.9809,0.9814092407679377,0.9809,0.9809554387757645,0.095
random,98,0.95,4,10,euclidean,stratified,0.9839,0.9843467713773131,0.9839,0.9839453164566275,0.085
random,71,0.95,3,15,euclidean,stratified,0.9859,0.986090016946106,0.9859,0.9859214293444442,0.112
random,89,0.95,3,14,euclidean,stratified,0.9862,0.986380332532405,0.9862,0.9862120948700014,0.099
random,53,0.95,3,11,euclidean,stratified,0.9814,0.981763167388628,0.9814,0.9814547215547568,0.076
random,72,0.95,3,16,euclidean,stratified,0.9864,0.9866100328645588,0.9864,0.9864298753079762,0.106
random,65,0.95,4,16,euclidean,stratified,0.983,0.9834224505603856,0.983,0.9830526444054946,0.078
random,94,0.95,4,19,euclidean,stratified,0.9848,0.985118790189847,0.9848,0.9848355122496346,0.156
random,69,0.95,3,13,euclidean,stratified,0.9851,0.9852828649352752,0.9851,0.9851158696732074,0.092
random,90,0.95,3,11,euclidean,stratified,0.9848,0.984957543543002,0.9848,0.9848124335595243,0.101
random,80,0.95,3,20,euclidean,stratified,0.9861,0.9863652632629993,0.9861,0.9861296647446494,0.166
random,79,0.95,5,12,euclidean,stratified,0.9859,0.9861464837138662,0.9859,0.9859329801953454,0.085
pca,75,0.95,5,20,euclidean,balanced,0.9865,0.9866487479297746,0.9865,0.9865183505544117,0.689
pca,87,0.95,3,20,euclidean,balanced,0.9855,0.9856451630215939,0.9855,0.9855187779563077,0.701
random,76,0.95,3,16,euclidean,stratified,0.9858,0.986015468773612,0.9858,0.985829893650027,0.118
pca,84,0.95,5,15,euclidean,balanced,0.9862,0.9863905949883359,0.9862,0.9862252393050052,0.521
random,71,0.95,3,20,euclidean,balanced,0.9854,0.985649938193936,0.9854,0.9854296440288434,0.118
pca,74,0.95,5,10,euclidean,stratified,0.9864,0.9865913215457691,0.9864,0.9864229670744254,0.328
pca,74,0.95,5,16,euclidean,stratified,0.9869,0.9870626204292552,0.9869,0.9869222896500385,0.5
random,73,0.95,5,16,euclidean,balanced,0.9856,0.9857583617490847,0.9856,0.9856124773114862,0.135
pca,83,0.95,3,10,euclidean,stratified,0.9848,0.9849858143690908,0.9848,0.9848226579976612,0.331
pca,100,0.95,3,20,euclidean,stratified,0.9856,0.985753498984328,0.9856,0.9856205929616645,0.627
pca,79,0.95,5,16,euclidean,stratified,0.9864,0.9865725888351317,0.9864,0.9864239315508702,0.509
pca,77,0.95,5,20,euclidean,stratified,0.9862,0.9864024209699587,0.9862,0.9862297999807511,0.677
pca,76,0.95,3,12,euclidean,stratified,0.9849,0.9850595076015285,0.9849,0.9849211806345828,0.396
random,84,0.95,3,16,euclidean,stratified,0.9857,0.9858857220593567,0.9857,0.9857190261380929,0.099
pca,70,0.95,5,10,euclidean,stratified,0.9859,0.9860959059531306,0.9859,0.9859249837700073,0.311
pca,72,0.95,5,19,euclidean,stratified,0.9866,0.9867467570305225,0.9866,0.9866200771870782,0.671
pca,73,0.95,3,18,euclidean,stratified,0.985,0.9851788771541049,0.985,0.9850224323487652,0.558
random,88,0.95,5,17,euclidean,balanced,0.9866,0.9868367996675439,0.9866,0.9866291010381859,0.141
pca,74,0.95,5,16,euclidean,stratified,0.9869,0
random,57,0.95,4,15,euclidean,stratified,0.9837,0.9840614222123236,0.9837,0.983728980053904,0.071
random,98,0.95,4,10,euclidean,stratified,0.9836,0.9839121822791201,0.9836,0.9836302570190039,0.079
random,71,0.95,3,15,euclidean,stratified,0.986,0.9862939832491706,0.986,0.9860391555771217,0.079
random,89,0.95,3,14,euclidean,stratified,0.9849,0.9851383247721309,0.9849,0.9849341792809527,0.103
random,53,0.95,3,11,euclidean,stratified,0.9832,0.9834101117284785,0.9832,0.9832206525996328,0.022
random,72,0.95,3,16,euclidean,stratified,0.9859,0.9861475021936355,0.9859,0.9859314226647002,0.112
random,65,0.95,4,16,euclidean,stratified,0.9848,0.9851309653454394,0.9848,0.9848370555436059,0.093
random,94,0.95,4,19,euclidean,stratified,0.984,0.9844335143597809,0.984,0.9840540572302103,0.147
random,69,0.95,3,13,euclidean,stratified,0.9847,0.9849270036614293,0.9847,0.9847206654244274,0.071
random,90,0.95,3,11,euclidean,stratified,0.9856,0.9857785273257345,0.9856,0.9856219650052842,0.068
pca,75,0.95,3,14,euclidean,stratified,0.9855,0.9856633168444993,0.9855,0.985520926958561,0.461
random,85,0.95,3,10,euclidean,stratified,0.9842,0.9844379526989203,0.9842,0.984229297923454,0.085
pca,73,0.95,5,14,euclidean,stratified,0.9863,0.9864401609246907,0.9863,0.9863159838444322,0.485
random,74,0.95,5,10,euclidean,stratified,0.9851,0.9853216497309795,0.9851,0.9851348736447695,0.078
pca,76,0.95,5,20,euclidean,stratified,0.9867,0.9868840226355471,0.9867,0.986722657986008,0.642
random,79,0.95,5,20,euclidean,stratified,0.9854,0.9856338172415126,0.9854,0.9854230159391715,0.13
pca,73,0.95,5,20,euclidean,balanced,0.9868,0.9869759657067878,0.9868,0.9868245241073162,0.646
random,75,0.95,3,20,euclidean,balanced,0.9867,0.986953186240059,0.9867,0.9867348167107981,0.109
random,75,0.95,5,18,euclidean,balanced,0.9863,0.9865071451177507,0.9863,0.9863314424750619,0.114
