projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,98,0.95,4,10,euclidean,stratified,0.8837,0.8920699254409242,0.8837,0.8851689391146736,0.103
random,71,0.95,3,15,euclidean,stratified,0.8892,0.8960614770629689,0.8892,0.8904633601917907,0.105
random,89,0.95,3,14,euclidean,stratified,0.8906,0.8960124450735868,0.8906,0.8916805530745403,0.116
random,53,0.95,3,11,euclidean,stratified,0.8713,0.8796370238944515,0.8713,0.872500562755809,0.067
random,72,0.95,3,16,euclidean,stratified,0.8874,0.892528454571818,0.8874,0.8881262635144914,0.112
random,65,0.95,4,16,euclidean,stratified,0.8856,0.8926538436585569,0.8856,0.8864761634576427,0.113
random,94,0.95,4,19,euclidean,stratified,0.8905,0.8964666913431558,0.8905,0.89134754617642,0.152
random,69,0.95,3,13,euclidean,stratified,0.886,0.8910474506347744,0.886,0.8865302927606244,0.091
random,90,0.95,3,11,euclidean,stratified,0.8891,0.8957308132061164,0.8891,0.8902817868738147,0.072
pca,79,0.95,3,11,euclidean,balanced,0.8853,0.8901246147244026,0.8853,0.8862393106254444,0.406
pca,87,0.95,5,20,euclidean,balanced,0.8924,0.8967425682349536,0.8924,0.8930617727647463,0.762
random,82,0.95,3,20,euclidean,stratified,0.8967,0.9015988555060441,0.8967,0.897498642930626,0.151
pca,79,0.95,5,20,euclidean,balanced,0.8939,0.8977276155660658,0.8939,0.8943948745382068,0.702
random,83,0.95,5,17,euclidean,stratified,0.8927,0.8979872258782571,0.8927,0.8934267367868619,0.129
random,100,0.95,3,20,euclidean,stratified,0.8948,0.8994579745314982,0.8948,0.8954682234527569,0.173
pca,83,0.95,3,20,euclidean,balanced,0.8894,0.8936704044772543,0.8894,0.8901023927305647,0.767
random,79,0.95,3,18,euclidean,stratified,0.8941,0.8991054224091714,0.8941,0.8948694754689249,0.138
pca,100,0.95,5,17,euclidean,balanced,0.8933,0.8968144961918327,0.8933,0.8935402729828927,0.604
random,90,0.95,3,20,euclidean,stratified,0.894,0.8995278947480562,0.894,0.894909011453122,0.167
random,97,0.95,3,16,euclidean,stratified,0.8904,0.8955841680853689,0.8904,0.8912977724554905,0.126
random,100,0.95,5,20,euclidean,stratified,0.8963,0.9007930391783003,0.8963,0.8969106016653168,0.149
random,81,0.95,5,20,euclidean,stratified,0.8937,0.8980815461814847,0.8937,0.8941729328512084,0.149
random,85,0.95,5,10,euclidean,balanced,0.8813,0.8874111599413144,0.8813,0.8820862693713442,0.068
random,50,0.95,5,20,euclidean,stratified,0.886,0.8917556500969677,0.886,0.8867881991847703,0.115
pca,73,0.95,5,10,euclidean,balanced,0.89,0.8934557327270997,0.89,0.890310514140549,0.378
pca,76,0.95,3,20,euclidean,balanced,0.8914,0.8957469549510529,0.8914,0.8920589094593433,0.727
random,89,0.95,5,18,euclidean,stratified,0.8928,0.8972247731175197,0.8928,0.8933039465113437,0.163
random,80,0.95,3,20,euclidean,balanced,0.8973,0.9022292429068939,0.8973,0.8980456238032357,0.153
pca,98,0.95,5,20,euclidean,balanced,0.8929,0.8968446751607142,0.8929,0.8934666572907126,0.774
random,80,0.95,3,20,euclidean,balanced,0.8973,0
random,57,0.95,4,15,euclidean,stratified,0.8759,0.8842223607569558,0.8759,0.8772828741047654,0.103
random,98,0.95,4,10,euclidean,stratified,0.8834,0.8904359986951149,0.8834,0.8844275068220497,0.065
random,71,0.95,3,15,euclidean,stratified,0.8876,0.8931180159838216,0.8876,0.8885509922646153,0.123
random,89,0.95,3,14,euclidean,stratified,0.8931,0.8977222565953044,0.8931,0.8937850585287268,0.098
random,53,0.95,3,11,euclidean,stratified,0.8677,0.8760746875875584,0.8677,0.8689579292934428,0.058
random,72,0.95,3,16,euclidean,stratified,0.8876,0.8943448043329714,0.8876,0.8888056641732935,0.091
random,65,0.95,4,16,euclidean,stratified,0.8859,0.8931101116790309,0.8859,0.8868384206350028,0.097
random,94,0.95,4,19,euclidean,stratified,0.8937,0.9000273963698472,0.8937,0.8947905206959036,0.185
random,69,0.95,3,13,euclidean,stratified,0.8865,0.8925300534904245,0.8865,0.8874337386113903,0.05
random,90,0.95,3,11,euclidean,stratified,0.8863,0.8915175422642815,0.8863,0.8872241598774988,0.087
pca,85,0.95,5,20,euclidean,balanced,0.8948,0.8981816770396556,0.8948,0.8951205304364381,0.754
random,89,0.95,3,20,euclidean,stratified,0.8943,0.8993340020738584,0.8943,0.8951399464085505,0.153
random,81,0.95,5,14,euclidean,balanced,0.8928,0.89726944030621,0.8928,0.8932399714718873,0.125
random,100,0.95,3,20,euclidean,balanced,0.8968,0.9015441827545978,0.8968,0.8975201634950778,0.203
pca,83,0.95,3,17,euclidean,stratified,0.8896,0.8937085303305872,0.8896,0.8902619776925279,0.654
random,100,0.95,5,20,euclidean,stratified,0.8992,0.9032373415230314,0.8992,0.8996809366620643,0.215
random,100,0.95,5,17,euclidean,stratified,0.8969,0.90009633313089,0.8969,0.8971539158913993,0.129
pca,100,0.95,5,20,euclidean,balanced,0.894,0.8981561166698513,0.894,0.8945389281573564,0.719
pca,77,0.95,5,10,euclidean,balanced,0.8908,0.8946945953503502,0.8908,0.8913227952470083,0.361
random,97,0.95,3,20,euclidean,stratified,0.8949,0.8999337338904767,0.8949,0.8957168472866986,0.168
random,78,0.95,5,20,euclidean,balanced,0.894,0.8980007510141097,0.894,0.8944344388696125,0.126
random,89,0.95,5,17,euclidean,stratified,0.8939,0.8986502084938047,0.8939,0.8944848616065554,0.12
random,82,0.95,3,10,euclidean,balanced,0.8871,0.8937205791266423,0.8871,0.8882770407416332,0.082
random,93,0.95,3,16,euclidean,stratified,0.8954,0.9003292781493072,0.8954,0.8962451582833757,0.12
pca,77,0.95,5,15,euclidean,balanced,0.8921,0.8950543763951515,0.8921,0.8923295397696743,0.602
random,100,0.95,3,18,euclidean,stratified,0.8954,0.9011478649614928,0.8954,0.8964817558767105,0.1
random,95,0.95,5,16,euclidean,balanced,0.8931,0.8975992216637602,0.8931,0.8937595065187508,0.133
pca,91,0.95,3,17,euclidean,balanced,0.8891,0.8936068863270804,0.8891,0.8898902707822813,0.631
random,82,0.95,5,20,euclidean,stratified,0.8955,0.8993737729382577,0.8955,0.8958062363604149,0.136
random,98,0.95,5,19,euclidean,stratified,0.8983,0.9027476354965093,0.8983,0.8988149919319786,0.14
random,100,0.95,5,20,euclidean,stratified,0.8992,0
random,57,0.95,4,15,euclidean,stratified,0.8781,0.8858858964106846,0.8781,0.8789252011699143,0.07
random,98,0.95,4,10,euclidean,stratified,0.8827,0.8911176139993233,0.8827,0.884145155458249,0.084
random,71,0.95,3,15,euclidean,stratified,0.8862,0.8926228313168427,0.8862,0.8873306536414806,0.086
random,89,0.95,3,14,euclidean,stratified,0.889,0.8938988105894304,0.889,0.8896829421137294,0.085
random,53,0.95,3,11,euclidean,stratified,0.8703,0.8791308159090777,0.8703,0.8717182166146314,0.043
random,72,0.95,3,16,euclidean,stratified,0.8896,0.8948319888693466,0.8896,0.8904228840053791,0.098
random,65,0.95,4,16,euclidean,stratified,0.8842,0.8912627809599815,0.8842,0.8852006616990189,0.084
random,94,0.95,4,19,euclidean,stratified,0.8927,0.8987583013176107,0.8927,0.8937597980201383,0.134
random,69,0.95,3,13,euclidean,stratified,0.8844,0.89116392781983,0.8844,0.8856428488625429,0.049
random,90,0.95,3,11,euclidean,stratified,0.8859,0.8923080522113057,0.8859,0.8871053776248126,0.085
random,78,0.95,5,20,euclidean,stratified,0.8935,0.8984695271708061,0.8935,0.8941615219233179,0.119
pca,86,0.95,5,20,euclidean,balanced,0.8942,0.8978527606289104,0.8942,0.8946736173733135,0.718
pca,100,0.95,3,20,euclidean,stratified,0.8892,0.8935940016297264,0.8892,0.8899367793278158,0.702
random,90,0.95,3,20,euclidean,stratified,0.8963,0.9007082459103163,0.8963,0.8969119355270679,0.158
random,84,0.95,3,20,euclidean,stratified,0.8946,0.8995720091352265,0.8946,0.895301586397694,0.125
pca,74,0.95,3,20,euclidean,balanced,0.8897,0.8945221585085599,0.8897,0.8904616957360034,0.768
random,80,0.95,5,10,euclidean,stratified,0.8832,0.8892082715114357,0.8832,0.8841638436514344,0.086
random,90,0.95,5,20,euclidean,stratified,0.8972,0.9016059819153421,0.8972,0.8977189326293358,0.156
pca,90,0.95,5,20,euclidean,stratified,0.8933,0.8969324424418533,0.8933,0.8936540862208742,0.687
random,87,0.95,3,20,euclidean,stratified,0.8972,0.9018070262119728,0.8972,0.8979863437166655,0.163
random,89,0.95,4,20,euclidean,balanced,0.8921,0.8979037254077015,0.8921,0.8929407739710575,0.153
random,84,0.95,5,17,euclidean,stratified,0.8926,0.8975889858116552,0.8926,0.8933205425785323,0.118
pca,79,0.95,3,16,euclidean,stratified,0.887,0.8919253332026513,0.887,0.8878580781602293,0.563
random,93,0.95,3,16,euclidean,stratified,0.8951,0.8991280686496377,0.8951,0.8956130446155944,0.119
random,91,0.95,5,17,euclidean,stratified,0.8948,0.8995103261722405,0.8948,0.8954725491747577,0.108
random,85,0.95,5,20,euclidean,stratified,0.8953,0.8998604190237777,0.8953,0.8959010566090928,0.131
random,50,0.95,5,20,euclidean,balanced,0.8852,0.8905070961207678,0.8852,0.8858225166851171,0.144
random,94,0.95,3,20,euclidean,stratified,0.8967,0.9024348862443707,0.8967,0.8977783585140329,0.183
pca,70,0.95,5,20,euclidean,stratified,0.8944,0.8981307462705219,0.8944,0.8949129324104446,0.69
pca,86,0.95,3,18,euclidean,stratified,0.8883,0.8929778740055504,0.8883,0.8891285289112677,0.635
random,90,0.95,5,20,euclidean,stratified,0.8972,0
random,57,0.95,4,15,euclidean,stratified,0.8801,0.8891246930643282,0.8801,0.8817218001379604,0.128
random,98,0.95,4,10,euclidean,stratified,0.8853,0.8920958862808264,0.8853,0.886456999815666,0.079
random,71,0.95,3,15,euclidean,stratified,0.8926,0.8976669417095656,0.8926,0.8934262718757282,0.102
random,89,0.95,3,14,euclidean,stratified,0.8909,0.8955776238884325,0.8909,0.891496117446801,0.117
random,53,0.95,3,11,euclidean,stratified,0.8695,0.8792818464335922,0.8695,0.8710034455752593,0.061
random,72,0.95,3,16,euclidean,stratified,0.8898,0.8950484057313756,0.8898,0.8905141007611829,0.104
random,65,0.95,4,16,euclidean,stratified,0.8834,0.8913357679007093,0.8834,0.8847363212327338,0.116
random,94,0.95,4,19,euclidean,stratified,0.8927,0.8984333430687615,0.8927,0.8935334774388839,0.173
random,69,0.95,3,13,euclidean,stratified,0.8808,0.8862838038216516,0.8808,0.8814347996692335,0.072
random,90,0.95,3,11,euclidean,stratified,0.8869,0.8925104909210886,0.8869,0.8878296432493089,0.085
random,92,0.95,4,17,euclidean,stratified,0.8901,0.8960683278234608,0.8901,0.891033759745046,0.117
