projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
random,65,0.9052275250951379,9,21,euclidean,stratified,0.8925,0.8962113449532211,0.8925,0.8925981868111472,1.046
random,146,0.9191105199610449,7,10,manhattan,oob,0.8888,0.893673562036339,0.8888,0.8897335550187938,0.11
random,93,0.9550667605250142,4,20,euclidean,stratified,0.8919,0.8977606674114504,0.8919,0.8928009388767961,0.145
random,128,0.946281099457225,5,19,euclidean,stratified,0.8968,0.9011307496920806,0.8968,0.8972554008801484,0.203
random,56,0.9869068829767104,3,13,manhattan,oob,0.8748,0.8832342916595269,0.8748,0.8763662241551945,0.071
random,94,0.9445659219100143,5,23,manhattan,stratified,0.8937,0.8989247874485844,0.8937,0.8945210894780307,0.235
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.8976,0.90200607495977,0.8976,0.8980089942600135,0.159
random,65,0.9052275250951379,9,21,euclidean,stratified,0.8926,0.896701081294019,0.8926,0.8929663212206959,1.83
random,146,0.9191105199610449,7,10,manhattan,oob,0.8929,0.8989385109862223,0.8929,0.893895678209246,0.147
random,93,0.9550667605250142,4,20,euclidean,stratified,0.8921,0.8975752336008193,0.8921,0.8928083726920156,0.163
random,128,0.946281099457225,5,19,euclidean,stratified,0.8987,0.902439322178975,0.8987,0.8990758700854283,0.192
random,56,0.9869068829767104,3,13,manhattan,oob,0.8741,0.8816674286300389,0.8741,0.8752939116393822,0.063
random,94,0.9445659219100143,5,23,manhattan,stratified,0.8959,0.9001206453453777,0.8959,0.8964226269145069,0.191
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.8983,0.9025660971163243,0.8983,0.898587984059846,0.171
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.9014,0.904385398048608,0.9014,0.9014079564317986,0.354
random,88,0.9745863758236737,4,16,euclidean,stratified,0.8907,0.8984364387466718,0.8907,0.8919632053354799,0.099
random,130,0.9888198242940466,4,12,euclidean,stratified,0.8867,0.8940034228150584,0.8867,0.8880004508053722,0.118
random,139,0.99,9,28,euclidean,bootstrap,0.8993,0.9031656028386066,0.8993,0.8997109528677223,0.266
random,138,0.9382520792820525,8,27,euclidean,stratified,0.8983,0.9027098313384267,0.8983,0.8989545984366331,0.274
random,137,0.9840847980868399,9,29,euclidean,bootstrap,0.8998,0.904000107910288,0.8998,0.9002705996247609,0.291
random,140,0.9884803023463682,8,29,euclidean,stratified,0.8985,0.9032142523064122,0.8985,0.8990975540958674,0.266
random,138,0.99,7,28,euclidean,smote,0.8997,0.9044654973942312,0.8997,0.9003631274233436,0.309
random,140,0.99,8,26,euclidean,smote,0.8978,0.9025501788148078,0.8978,0.8985838875833789,0.309
pca,137,0.99,10,27,euclidean,smote,0.8983,0.9029755588772117,0.8983,0.8988035045215965,1.552
random,129,0.9617449215515078,3,22,euclidean,stratified,0.8963,0.9001464676499882,0.8963,0.8967118837105088,0.221
random,127,0.9168734749649599,7,20,manhattan,bootstrap,0.8976,0.9020272295838868,0.8976,0.8981626104982945,0.196
random,125,0.9064564439854252,4,19,euclidean,bootstrap,0.894,0.8998586582326323,0.894,0.8949139401302953,0.195
random,130,0.9468196118053236,7,20,euclidean,stratified,0.8967,0.900830559063511,0.8967,0.8972077961767289,0.215
random,80,0.9437047468552183,8,27,euclidean,bootstrap,0.8976,0.9024736111113508,0.8976,0.898204390941675,0.186
random,78,0.9111310761452734,6,24,euclidean,oob,0.8958,0.8997809924621257,0.8958,0.896053263678178,0.168
random,83,0.9175417182011216,9,24,manhattan,oob,0.8966,0.9000471882981563,0.8966,0.896818378504055,0.176
random,130,0.9,5,19,cosine,smote,0.9013,0.9034791356747103,0.9013,0.9013102616367954,0.221
pca,131,0.9,3,19,manhattan,bootstrap,0.8892,0.8941168112533081,0.8892,0.8901386933049942,0.492
random,129,0.9613399326832354,7,18,manhattan,smote,0.8969,0.9013274499948302,0.8969,0.8976743166186425,0.151
random,94,0.95,4,19,euclidean,stratified,0.8924,0.8987932176533806,0.8924,0.893439693283196,0.125
random,69,0.95,3,13,euclidean,stratified,0.8857,0.8928270917185189,0.8857,0.8869059280619372,0.077
random,90,0.95,3,11,euclidean,stratified,0.8885,0.8943872073926017,0.8885,0.8895567206360029,0.079
random,84,0.95,5,20,euclidean,stratified,0.8952,0.8995597976078731,0.8952,0.895849227206985,0.176
pca,88,0.95,3,20,euclidean,balanced,0.8896,0.8937425388891556,0.8896,0.890259837157967,0.726
random,81,0.95,5,14,euclidean,stratified,0.8888,0.89408871711497,0.8888,0.8895739028107319,0.087
random,79,0.95,3,20,euclidean,stratified,0.8935,0.8984303896353606,0.8935,0.8941824070850165,0.128
random,100,0.95,3,20,euclidean,stratified,0.8952,0.8999266853646812,0.8952,0.895916395465802,0.168
pca,100,0.95,5,18,euclidean,stratified,0.894,0.8976203800880068,0.894,0.8944048273420071,0.643
pca,81,0.95,5,20,euclidean,balanced,0.8943,0.8974193734001157,0.8943,0.8946277670086831,0.728
random,97,0.95,3,17,euclidean,stratified,0.8962,0.9014671514794949,0.8962,0.897003518082663,0.14
random,100,0.95,3,17,euclidean,balanced,0.8926,0.8970725156646547,0.8926,0.8931952785071123,0.156
random,93,0.95,3,16,euclidean,stratified,0.891,0.8964812545491333,0.891,0.8921076453316354,0.107
pca,97,0.95,3,20,euclidean,stratified,0.8891,0.89352971478047,0.8891,0.8898946329848455,0.748
pca,83,0.95,3,17,euclidean,balanced,0.8891,0.8931690541295039,0.8891,0.8896801986839253,0.602
pca,76,0.95,5,20,euclidean,balanced,0.8939,0.8975842495680335,0.8939,0.8942122068509613,0.717
random,96,0.95,5,16,euclidean,stratified,0.896,0.9002333897149818,0.896,0.8966061597898688,0.129
pca,76,0.95,5,10,euclidean,balanced,0.8916,0.8957202646651143,0.8916,0.8922132627713094,0.361
pca,83,0.95,3,10,euclidean,balanced,0.8863,0.8905446915821327,0.8863,0.8870009927238887,0.357
random,88,0.95,5,17,euclidean,stratified,0.8948,0.899588614949542,0.8948,0.8953251869138726,0.132
random,77,0.95,5,16,euclidean,stratified,0.892,0.8970769065401318,0.892,0.8929289903964822,0.117
random,50,0.95,3,20,euclidean,stratified,0.8845,0.8914222895576913,0.8845,0.8855048330631984,0.132
random,97,0.95,5,18,euclidean,balanced,0.8958,0.9010298564913981,0.8958,0.8965108528195347,0.166
random,97,0.95,3,17,euclidean,stratified,0.8962,0
random,57,0.95,4,15,euclidean,stratified,0.8785,0.8862476185179028,0.8785,0.8797059774158587,0.091
