projection method,n_components,variance threshhold,k,nubmber of stimators,distance method,sampeling method,accuracy,precision,recall,f1_score,trainigtime
pca,80,0.9,5,16,manhattan,stratified,0.771072319201995,0.7467867855377542,0.771072319201995,0.7452947535779613,0.052
random,78,0.99,3,17,euclidean,smote,0.6817955112219451,0.7934998718112773,0.6817955112219451,0.7111375952172142,0.092
random,80,0.99,4,12,euclidean,stratified,0.7765586034912718,0.7647959941713209,0.7765586034912718,0.7617470772290557,0.021
random,82,0.99,3,16,euclidean,stratified,0.7930174563591023,0.7781730328385545,0.7930174563591023,0.7759122647773479,0.036
random,81,0.99,5,14,cosine,oob,0.7700748129675811,0.741102047670884,0.7700748129675811,0.7393000949504851,0.024
random,78,0.99,7,13,euclidean,oob,0.7591022443890274,0.736218898804842,0.7591022443890274,0.7248416326767368,0.02
random,81,0.9,3,18,cosine,stratified,0.7950124688279302,0.777649558325312,0.7950124688279302,0.7750359471219924,0.034
random,82,0.9330565568704859,3,20,euclidean,stratified,0.7945137157107232,0.7812960086144913,0.7945137157107232,0.7759432654710853,0.044
pca,81,0.99,3,21,cosine,stratified,0.7800498753117207,0.7712730634814516,0.7800498753117207,0.7711458979891624,0.14
random,83,0.99,3,18,manhattan,oob,0.7915211970074812,0.7773441767784895,0.7915211970074812,0.7686904700971386,0.059
random,81,0.9,3,18,cosine,stratified,0.7950124688279302
random,65,0.9052275250951379,9,21,euclidean,stratified,0.7536159600997506,0.7187394828672895,0.7536159600997506,0.7087178085234084,0.049
random,146,0.9191105199610449,7,10,manhattan,oob,0.7600997506234414,0.7263881088476685,0.7600997506234414,0.7296300136626718,0.035
random,93,0.9550667605250142,4,20,euclidean,stratified,0.7855361596009975,0.7733439998031617,0.7855361596009975,0.7686914073753573,0.055
random,128,0.946281099457225,5,19,euclidean,stratified,0.7745635910224439,0.7542673256073059,0.7745635910224439,0.7447894525897617,0.064
random,56,0.9869068829767104,3,13,manhattan,oob,0.7845386533665836,0.7698234457830809,0.7845386533665836,0.759873078769952,0.029
random,94,0.9445659219100143,5,23,manhattan,stratified,0.7750623441396509,0.7539438357240303,0.7750623441396509,0.7410744840431509,0.073
random,81,0.9492039251408951,9,23,euclidean,bootstrap,0.7536159600997506,0.7182904450034675,0.7536159600997506,0.7081392804741187,0.055
random,139,0.9829686811520805,9,28,euclidean,bootstrap,0.7536159600997506,0.7277766476269328,0.7536159600997506,0.7120697249504054,0.093
random,88,0.9745863758236737,4,16,euclidean,stratified,0.7825436408977556,0.7717405923250147,0.7825436408977556,0.7648866901014528,0.043
random,130,0.9888198242940466,4,12,euclidean,stratified,0.7780548628428927,0.7681043785739778,0.7780548628428927,0.7649302087671387,0.034
random,96,0.9738254086433155,3,14,euclidean,bootstrap,0.7905236907730673,0.7759517102493112,0.7905236907730673,0.7726309582301512,0.038
random,109,0.99,3,12,euclidean,stratified,0.7870324189526184,0.7706350085671967,0.7870324189526184,0.7685864630806182,0.039
random,102,0.9,10,10,euclidean,smote,0.6164588528678304,0.7802766806842124,0.6164588528678304,0.6541920576093377,0.077
random,116,0.99,3,13,euclidean,stratified,0.7855361596009975,0.7702058620236577,0.7855361596009975,0.7668143875105516,0.049
pca,111,0.99,3,19,euclidean,stratified,0.7785536159600998,0.7647071153133614,0.7785536159600998,0.7658664670030806,0.154
pca,121,0.9689887220180853,10,13,euclidean,stratified,0.7486284289276808,0.7182938843913252,0.7486284289276808,0.7111180432034424,0.073
pca,90,0.99,3,10,euclidean,stratified,0.7665835411471321,0.7571441875487146,0.7665835411471321,0.756381997281267,0.069
pca,100,0.99,3,20,euclidean,stratified,0.7770573566084789,0.7657574641377638,0.7770573566084789,0.7644514871845293,0.13
pca,50,0.9,7,10,cosine,smote,0.6708229426433915,0.7779016318840888,0.6708229426433915,0.7006434319358158,0.049
random,62,0.99,3,13,euclidean,smote,0.6812967581047381,0.7901957916617658,0.6812967581047381,0.7101062359768272,0.053
