cifar10,Baseline k-NN,5.0,,,,0.9865,2024-07-07 19:37:42.684236
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8653,2024-07-07 19:37:51.315300
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8822,2024-07-07 19:37:54.588506
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8429,2024-07-07 19:37:58.351315
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8724,2024-07-07 19:38:03.201741
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8997,2024-07-07 19:38:04.368696
cifar10,Forest k-NN,,5.0,50.0,0.5,0.9009,2024-07-07 19:38:05.853347
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8841,2024-07-07 19:38:13.358395
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8917,2024-07-07 19:38:14.456418
cifar10,Forest k-NN,,5.0,50.0,0.5,0.9144,2024-07-07 19:38:15.300665
cifar10,Forest k-NN,,5.0,50.0,0.5,0.9084,2024-07-07 19:38:16.547573
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8677,2024-07-07 19:38:17.371861
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8694,2024-07-07 19:38:18.697962
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8756,2024-07-07 19:38:20.454279
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8498,2024-07-07 19:38:21.284213
cifar10,Forest k-NN,,5.0,50.0,0.5,0.8636,2024-07-07 19:38:22.018797
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9032,2024-07-07 19:38:23.267156
cifar10,Forest k-NN,5.0,,50.0,0.5,0.868,2024-07-07 19:38:24.128303
cifar10,Forest k-NN,5.0,,50.0,0.5,0.8883,2024-07-07 19:38:24.914598
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9042,2024-07-07 19:38:25.741671
cifar10,Forest k-NN,5.0,,50.0,0.5,0.8252,2024-07-07 19:38:26.977438
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9237,2024-07-07 19:38:28.164668
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9025,2024-07-07 19:38:30.081880
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9251,2024-07-07 19:38:31.346090
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9394,2024-07-07 19:38:33.061142
cifar10,Forest k-NN,5.0,,50.0,0.5,0.9121,2024-07-07 19:38:34.791376
