method,n_components,k,n_classifiers,accuracy,precision,recall,f1_score,total_misclassified,misclassified_indices
random,50,10,20,0.9848,0.9849817395337587,0.9848,0.9848181252217769,152,"[8744, 2301, 4775, 4784, 2405]"
random,50,10,30,0.9857,0.9858928180986337,0.9857,0.9857146788135044,143,"[8872, 2408, 4784, 4135, 4247]"
random,50,10,50,0.9859,0.9861105295609807,0.9859,0.9859241901709929,141,"[5446, 2299, 4646, 3183, 37]"
random,50,15,20,0.9845,0.9847831651505549,0.9845,0.984532004356093,155,"[7839, 1492, 3083, 9034, 9704]"
random,50,15,30,0.9853,0.9855838595804362,0.9853,0.9853306642405051,147,"[7730, 238, 9741, 7444, 8296]"
random,50,15,50,0.9851,0.9853784630565511,0.9851,0.9851327068403233,149,"[2299, 9853, 1584, 7439, 3107]"
random,50,17,20,0.9845,0.9847910630755384,0.9845,0.9845297001781163,155,"[6257, 2841, 3721, 3977, 6859]"
random,50,17,30,0.9852,0.9854779549713291,0.9852,0.9852298120139612,148,"[1498, 9853, 7839, 3357, 4495]"
random,50,17,50,0.9849,0.9851634382822331,0.9849,0.9849320807753791,151,"[9246, 3192, 4821, 4646, 2129]"
random,50,20,20,0.984,0.9842761204902793,0.984,0.9840194683334915,160,"[37, 1498, 4000, 9853, 1307]"
random,50,20,30,0.9853,0.985533602288152,0.9853,0.9853209398293263,147,"[9551, 3107, 1307, 7657, 8384]"
random,50,20,50,0.9853,0.9855513443278482,0.9853,0.9853320442168899,147,"[5755, 6023, 7620, 9039, 6562]"
random,100,10,20,0.9867,0.9868758250461754,0.9867,0.9867228449886843,133,"[3400, 3753, 3450, 1791, 151]"
random,100,10,30,0.9869,0.9870720284776907,0.9869,0.9869210115525003,131,"[9160, 6127, 8902, 1492, 4931]"
random,100,10,50,0.9871,0.98726608210675,0.9871,0.9871186622999442,129,"[2592, 8366, 799, 2845, 6658]"
random,100,15,20,0.9857,0.9859469572283484,0.9857,0.9857291553425644,143,"[3560, 2408, 6750, 9414, 6127]"
random,100,15,30,0.9866,0.9868316714255579,0.9866,0.9866281450970193,134,"[9853, 4661, 3708, 6859, 1492]"
random,100,15,50,0.987,0.9872219758309426,0.987,0.9870252379405009,130,"[9643, 4090, 9227, 1885, 5816]"
random,100,17,20,0.9859,0.9861440213767146,0.9859,0.9859254935461722,141,"[8315, 9246, 9551, 2301, 9555]"
random,100,17,30,0.9865,0.9867187884357876,0.9865,0.9865253181981684,135,"[1095, 4775, 6859, 3560, 9414]"
random,100,17,50,0.9866,0.9868126179729634,0.9866,0.9866230009515861,134,"[3400, 7784, 4546, 2128, 4965]"
random,100,20,20,0.9855,0.9857448830439973,0.9855,0.985525921352027,145,"[151, 3753, 4821, 7821, 3183]"
random,100,20,30,0.9865,0.9867390560728625,0.9865,0.9865252416644859,135,"[5882, 5774, 799, 151, 8166]"
random,100,20,50,0.9861,0.9863590743792718,0.9861,0.98613175815622,139,"[6669, 7499, 426, 6966, 5690]"
random,200,10,20,0.9874,0.9875480618647574,0.9874,0.9874217271424299,126,"[59, 7730, 8014, 6391, 4661]"
random,200,10,30,0.9876,0.9877680843387514,0.9876,0.9876195930171234,124,"[9414, 151, 3183, 5774, 2301]"
random,200,10,50,0.9872,0.9873763733221984,0.9872,0.9872226516748333,128,"[5355, 2301, 3753, 4784, 5755]"
random,200,15,20,0.9876,0.9877872235779358,0.9876,0.9876230304681479,124,"[4661, 3450, 4152, 5211, 3107]"
random,200,15,30,0.9873,0.9875206262153703,0.9873,0.9873268749495532,127,"[8014, 9227, 9039, 5755, 6966]"
random,200,15,50,0.987,0.9872166755553539,0.987,0.9870263891416449,130,"[1685, 6257, 3560, 2271, 3450]"
random,200,17,20,0.9873,0.9874810881260235,0.9873,0.987321715697806,127,"[3704, 8366, 5690, 2108, 3192]"
random,200,17,30,0.9873,0.9875049865372932,0.9873,0.9873251433613963,127,"[4152, 799, 6869, 5774, 5816]"
random,200,17,50,0.9869,0.9871159485904565,0.9869,0.9869258783106306,131,"[226, 5816, 59, 5690, 7499]"
random,200,20,20,0.987,0.9872344483369488,0.987,0.9870247017821048,130,"[1969, 9551, 6127, 7455, 2854]"
random,200,20,30,0.987,0.9872446787598652,0.987,0.9870279943571897,130,"[5211, 8312, 3192, 7792, 3450]"
random,200,20,50,0.9868,0.9870326233807273,0.9868,0.9868283358633786,132,"[3114, 810, 5468, 551, 6869]"
pca,50,10,20,0.9865,0.9866198695443668,0.9865,0.9865247412965374,135,"[3082, 1791, 275, 551, 7217]"
