method,n_components,k,n_classifiers,accuracy,precision,recall,f1_score,total_misclassified,misclassified_indices
pca,50,10,30,0.9869,0.9870147507756512,0.9869,0.9869234721475807,131,"[4775, 3192, 6965, 8744, 5177]"
pca,50,10,50,0.9872,0.9872950245334338,0.9872,0.9872180937533269,128,"[7784, 2923, 7556, 2840, 3704]"
pca,50,15,20,0.9855,0.9857182228150551,0.9855,0.9855395450680293,145,"[1095, 8809, 799, 1885, 2854]"
pca,50,15,30,0.986,0.9862359608378456,0.986,0.9860457284344869,140,"[9704, 6127, 9555, 7620, 8366]"
pca,50,15,50,0.9862,0.986393834150645,0.9862,0.98623846932242,138,"[2804, 6966, 226, 2137, 1765]"
pca,50,17,20,0.9856,0.9857742732523384,0.9856,0.9856326862768423,144,"[8744, 8296, 6859, 551, 5468]"
pca,50,17,30,0.9864,0.9865741422660435,0.9864,0.9864309472279871,136,"[9551, 6344, 799, 810, 8118]"
pca,50,17,50,0.9861,0.986245594489668,0.9861,0.9861268556243955,139,"[1732, 2464, 37, 6398, 9160]"
pca,50,20,20,0.9853,0.9854986165349424,0.9853,0.9853362885807985,147,"[6859, 3450, 226, 4090, 6143]"
pca,50,20,30,0.986,0.9861872625354401,0.986,0.986033174469555,140,"[1892, 5816, 1685, 3704, 2845]"
pca,50,20,50,0.9858,0.985993241405677,0.9858,0.9858349721785685,142,"[8728, 9689, 1492, 5177, 3708]"
pca,100,10,20,0.9875,0.9876420155723848,0.9875,0.9875273404755406,125,"[2301, 5468, 2271, 6398, 598]"
pca,100,10,30,0.9876,0.9877487758015515,0.9876,0.9876289181313483,124,"[3708, 4965, 7228, 8997, 7099]"
pca,100,10,50,0.9874,0.9875481733431206,0.9874,0.9874271860241733,126,"[7620, 3107, 6398, 1969, 37]"
pca,100,15,20,0.9867,0.9869433453166822,0.9867,0.9867423600021182,133,"[9704, 1095, 3094, 4821, 2108]"
pca,100,15,30,0.9864,0.9866712469583652,0.9864,0.9864467765143947,136,"[810, 3560, 3704, 8118, 3306]"
pca,100,15,50,0.9867,0.9869656433138368,0.9867,0.9867461420233673,133,"[3192, 8173, 5882, 2108, 4366]"
pca,100,17,20,0.9866,0.9868469699408865,0.9866,0.9866410957487457,134,"[4646, 4495, 2187, 3306, 8296]"
pca,100,17,30,0.9864,0.9866530596447088,0.9864,0.9864437895653151,136,"[4661, 5755, 1685, 6398, 37]"
pca,100,17,50,0.9866,0.9868598457092683,0.9866,0.9866443527791342,134,"[4661, 8997, 3450, 5755, 37]"
pca,100,20,20,0.986,0.9863275238540038,0.986,0.9860546694146803,140,"[5177, 7499, 8173, 4495, 3059]"
pca,100,20,30,0.9862,0.9864857720862851,0.9862,0.9862487621660039,138,"[7127, 6257, 9414, 226, 2464]"
pca,100,20,50,0.9859,0.986223734452361,0.9859,0.9859519161298771,141,"[7784, 5755, 8384, 5211, 4775]"
pca,200,10,20,0.9877,0.9878825356237996,0.9877,0.9877364114544954,123,"[2108, 4749, 7967, 275, 9039]"
pca,200,10,30,0.988,0.9881833010913035,0.988,0.9880351416709192,120,"[6562, 9643, 4495, 7853, 8296]"
pca,200,10,50,0.9877,0.9878891930948288,0.9877,0.9877370021282944,123,"[226, 8384, 8604, 3306, 7040]"
pca,200,15,20,0.9868,0.9870926414547001,0.9868,0.9868545795183878,132,"[4784, 3977, 9414, 9227, 3094]"
pca,200,15,30,0.987,0.9872506176853895,0.987,0.9870447592524543,130,"[9704, 8872, 5155, 5355, 9039]"
pca,200,15,50,0.9871,0.9873748960931662,0.9871,0.987148670083849,129,"[7761, 226, 151, 4495, 5882]"
pca,200,17,20,0.9864,0.9867183803961052,0.9864,0.9864561684026563,136,"[8966, 3114, 9260, 2301, 3721]"
pca,200,17,30,0.9868,0.987077185492804,0.9868,0.9868494142114747,132,"[6750, 3463, 4740, 8384, 3708]"
pca,200,17,50,0.9871,0.9873256840983903,0.9871,0.9871419133600094,129,"[7499, 4740, 8872, 237, 3708]"
pca,200,20,20,0.9866,0.9869256031732855,0.9866,0.9866587692567828,134,"[8296, 6859, 9551, 2840, 3192]"
pca,200,20,30,0.9867,0.987036890798236,0.9867,0.98676109167277,133,"[3094, 5446, 8604, 9643, 8966]"
pca,200,20,50,0.9867,0.9870238852105656,0.9867,0.9867541946412344,133,"[8366, 7792, 4798, 5755, 2854]"
